상호명,전화번호,주소
아름다운치과,02-814-2828,서울 동작구 성대로2길 12 예성빌딩 3층
박석치과의원,02-823-6084,서울 동작구 상도로 93 미미빌딩 6층
이희정치과의원,02-823-2816,서울 동작구 성대로31길 71
미앤미이희정치과의원,02-823-2816,"서울 동작구 상도로 104 3,4층"
백송치과의원,02-814-2275,서울 동작구 서달로 150 해가든프라자 204호
최인호치과의원,02-3476-2882,서울 서초구 동작대로 132 401호
유경선구강악안면외과치과의원,02-536-3113,서울 동작구 동작대로 129
싱아치과의원,02-6275-2875,"서울 동작구 만양로 19 신동아리버파크아파트상가 306,307호"
신기현치과의원,02-595-2880,서울 서초구 동광로12가길 42 2층
보스톤치과,02-826-2275,서울 동작구 서달로 150
김과연치과의원,02-814-2875,서울 동작구 흑석한강로 2 흑석한강센트레빌상가 305~307호
김준수치과의원,02-826-0026,서울 동작구 현충로 131 1층
가야치과병원,02-599-2472,서울 서초구 방배로 177 레마빌딩 4-6층
연세와이즈치과의원,02-6278-2828,서울 동작구 현충로 75 원불교100년기념관 2층 1호
남상치과의원,02-831-2875,서울 영등포구 신풍로 118 신한에디피스빌딩 3층
이웰치과의원,02-821-0047,서울 동작구 여의대방로 134-1 봉림빌딩 4층 405호
서진뷰티치과의원,02-815-3537,서울 동작구 흑석로 112 중앙타워빌 5층 501호
율치과의원,02-3280-2870,서울 동작구 상도로 8 신한빌딩 2층 201호
금아치과의원,02-825-2222,서울 동작구 여의대방로 140 경원빌딩 6층
애플치과의원,02-814-2754,서울 동작구 현충로 118 3층
서울명인치과의원,02-532-2850,서울 서초구 동광로1길 112
서울봄날치과교정과치과의원,02-6956-2979,서울 동작구 상도로 13 6층
사람사랑치과의원 보라매점,02-845-7577,서울 영등포구 여의대방로 95 태창빌딩 3층
황산치과,02-823-2875,서울 동작구 만양로 89
상아치과교정과의원,02-2138-2827,서울 서초구 방배로 227 영춘빌딩 2층 201호
한빛치과의원,02-824-2204,서울 동작구 여의대방로 142
젤편한치과의원,02-832-7528,서울 영등포구 여의대방로 149 2층
서울더키즈치과의원,02-535-2275,서울 서초구 방배로 211 SM빌딩 2층
후플란트치과의원,02-845-2755,서울 동작구 신대방길 2 2층
필치과병원,02-593-0725,서울 서초구 방배로 245 현대클리닉빌딩 3층
한사랑치과,02-821-3855,서울 동작구 만양로 84 212호
미림치과,02-843-2275,서울 영등포구 여의대방로 145 세인트빌딩 2층
미소현치과의원,02-844-2080,서울 영등포구 여의대방로 83 4층
성락치과의원,02-537-1692,서울 서초구 방배로 215
뉴연세보라매치과의원,02-835-1028,서울 영등포구 여의대방로 77 2층
마이스터치과의원,02-887-2847,서울 서초구 방배로36길 9 에코빌 1-2층
서울뉴스마일치과의원,02-842-0797,서울 동작구 여의대방로10길 38 보라매롯데 낙천대아파트상가 지층 2호
현대치과의원,02-812-5600,서울 동작구 매봉로 182 3층
양지바른치과의원,02-581-2273,서울 서초구 방배로 118 5-6층
화인치과의원,02-534-2132,서울 서초구 방배로 195 204호
리움치과의원,02-532-2728,서울 서초구 방배로 195 2층
미드치과,070-4220-6754,서울 서초구 동광로18길 11-3
혜화치과의원,02-853-0769,서울 금천구 남부순환로 1432
쥬빌리치과의원,02-532-2175,서울 서초구 방배로 225
미소를주는치과의원,02-812-0353,서울 동작구 매봉로 178 2층
방배이튼치과의원,02-593-2804,서울 서초구 방배로 174 태창빌딩 3층
장계봉치과의원,02-591-3550,서울 서초구 방배로 169 한국수입협회빌딩 3층
e클래스치과의원,02-596-2804,서울 서초구 동광로 75
최성연치과의원,02-585-2828,서울 서초구 서초대로 96
반포치과의원,02-533-2875,서울 서초구 방배로 144 3층
서리풀치과의원,02-6272-9000,서울 서초구 방배로 162 예광빌딩 2층
김태효치과의원,02-533-8092,서울 서초구 방배로 268 삼호상가 205호
서초엘치과의원,02-6338-7575,서울 서초구 방배로 141 텔콤빌딩 2층
예원치과,02-583-2875,서울 서초구 방배로 115 3층
e해박난치과,02-823-2080,서울 동작구 노량진로 152-1 3층
화이트플러스치과의원,02-841-2075,서울 영등포구 여의대방로 55 신길프라자 2층
해온치과의원,02-836-2580,서울 영등포구 여의대방로 65 돈보스코청소년센터 2층
연세제일치과의원,02-814-0858,서울 동작구 노량진로 150 4층
경원치과의원,02-844-2875,서울 영등포구 가마산로 581 2층
서울참조은치과의원 방배점,02-3474-2800,서울 서초구 방배로 103 디엠타워 3층
제나두치과의원,02-501-2875,서울 서초구 방배로13길 18 방배아크로타워 211호
서울하이안치과의원 방배지점,02-522-2288,서울 서초구 효령로 120 3층
좋은날치과의원,02-6672-2875,서울 영등포구 신풍로 93 메트하임 204호
미드림치과의원,02-586-7528,서울 서초구 방배로 104 안혜빌딩 301호
시크릿치과의원,02-521-2804,서울 서초구 방배로 95 서경빌딩 4층
하상현치과,02-584-2833,서울 서초구 방배로 91
이가편한방배치과의원,02-598-2876,서울 서초구 방배로 81 유경빌딩 2층
최진석치과,02-525-1017,서울 서초구 방배로 97 2층
안정모 치과의원,02-815-0005,서울 동작구 노량진로8길 20
조혜연치과의원,02-584-2875,서울 서초구 방배로 93 보령빌딩 2층
참조은치과의원,02-845-3256,"서울 동작구 시흥대로 668-3 2, 3층"
미소담치과,02-817-2275,서울 동작구 노량진로8길 3 3층
고운치과의원,02-525-2885,서울 서초구 효령로 132 고운메디컬 1층 102호
박상균치과의원,02-582-2135,서울 서초구 방배로20길 4 5층
우리네치과의원,02-849-2150,서울 동작구 대림로 61 2층
로얄치과의원,02-842-1252,서울 영등포구 여의대방로 45
유라치과의원,02-841-9373,서울 동작구 시흥대로 664
더강한치과의원,02-523-2822,서울 서초구 방배로 83 방배센트럴빌딩 4층
서울해치과,02-817-8228,서울 동작구 등용로 119 5층
김민우치과,02-835-2875,서울 동작구 시흥대로 658 2층
정진열치과의원,02-583-8284,서울 서초구 방배로 100
부부치과의원,02-832-1304,서울 동작구 신대방1가길 38 성원상떼빌 105동 303호
송동근치과,02-834-0384,서울 동작구 시흥대로 646
가이드치과의원,02-836-2875,서울 영등포구 신길로 34 2층
미래서울치과의원,02-868-0652,서울 금천구 남부순환로 1386
연세허브치과의원,02-839-7528,서울 금천구 남부순환로 1372
김치과의원,02-815-1700,서울 동작구 여의대방로 250 대림쇼핑타운 4층 405호
이우주치과의원,02-848-2875,서울 영등포구 시흥대로 675 삼성YJ그랜드빌딩 3층 301호
늘푸른지에스치과의원,02-2668-2272,서울 영등포구 신풍로 77 래미안에스티움 B동 110호
한림대학교 강남성심병원 치과,02-829-5233,서울 영등포구 신길로 1
송동근치과의원,02-834-0384,서울 동작구 시흥대로 646
해맑은치과,02-896-3339,서울 금천구 독산로50길 84 3층
한독치과의원,02-832-6815,서울 영등포구 시흥대로 651-1 2층
연세예울치과의원,02-822-2875,"서울 동작구 여의대방로 256 성원상가 2층 204,205호"
로뎀치과의원,02-832-2879,서울 동작구 노량진로 20-7 1층
신풍미소치과의원,02-836-2080,서울 영등포구 신풍로 44 2층
연세감동치과의원,02-843-2875,서울 영등포구 시흥대로 635 대림메디컬빌딩 3층
이사랑치과의원,02-839-4620,서울 금천구 독산로 285 2층
원치과의원,02-841-2877,서울 영등포구 대방천로 172
연세치과의원,02-855-2735,서울 금천구 독산로 360
하늘치과의원,02-816-2978,서울 동작구 알마타길 6 신동아파밀리에상가 112호
구재홍치과의원,02-857-7844,서울 동작구 시흥대로 602 프레콘빌딩 4층
임치과,02-816-2820,서울 동작구 등용로 127 현대아파트상가 103동 202호
감탄치과의원,02-6337-2879,서울 영등포구 신풍로 28 비스타에코 2층 210~214호
명치과의원,02-832-5013,서울 영등포구 신길로 42 2층
365열린치과의원,02-853-7528,서울 영등포구 신길로 167 영등포메디컬타워 301호
연세디자인치과의원,02-846-7528,서울 영등포구 도신로 228 2층
연세완치과의원,02-854-5025,서울 금천구 독산로 366 2층
안아프니치과의원,02-6741-2828,서울 구로구 시흥대로 577 2층
임수환치과의원,02-816-2820,서울 동작구 등용로 127
삼성서울치과의원,02-892-2879,서울 금천구 금하로 816 2층
서울탑치과병원,02-588-2833,서울 서초구 효령로 261-1
서울센텀턱구강내과치과의원,02-6277-2875,서울 영등포구 국제금융로6길 26 한국노총 3층
서울선부부치과,02-523-2804,서울 서초구 방배로 36 이삭빌딩 2층
서울연세감성치과의원,0507-1483-2877,서울 영등포구 신풍로 23 4층
정연진치과의원,02-842-2804,서울 영등포구 신길로 29 e편한세상 아델포레상가 105동 2층 202호
원치과의원,02-852-2875,서울 금천구 독산로85길 22 2층
올치과,02-521-7522,서울 서초구 방배로 22
유디치과의원 독산점,02-838-2875,"서울 금천구 독산로 251 2,3층"
연세세브란스치과의원,02-6293-2875,서울 금천구 시흥대로 427 2층 201호
김대수치과,02-853-5108,서울 금천구 독산로 286 2층
서울바른마음치과의원,02-895-7522,서울 금천구 독산로 135-1 2층
정정균치과의원,02-896-7350,서울 금천구 범안로 1256
이제영치과의원,02-849-2875,서울 영등포구 여의대방로43라길 6
한일치과의원,02-862-5220,서울 금천구 시흥대로 406 2층
썬프라자치과의원,02-6012-2080,서울 영등포구 신길로 39 썬프라자 본관 3층
